"2019/10/01,com.foo.bar,AU,2,1,0.500,1,1.000,1,1.000,1,1.000,1,1.000"
"2019/10/01,com.foo.bar,BD,1,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,CA,1,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,DE,1,1,1.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,FI,1,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,GB,2,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,GE,1,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,ID,1,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,IE,1,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,IN,7,3,0.429,1,0.333,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,KE,1,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,MY,1,1,1.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,NG,1,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,NZ,1,1,1.000,1,1.000,1,1.000,1,1.000,1,1.000"
"2019/10/01,com.foo.bar,PH,1,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,PK,2,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,PL,1,1,1.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,RU,7,4,0.571,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,SE,1,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,TH,1,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000"
"2019/10/01,com.foo.bar,UA,1,1,1.000,1,1.000,1,1.000,1,1.000,1,1.000"
"2019/10/01,com.foo.bar,US,32,7,0.219,5,0.714,4,0.571,3,0.429,3,0.429"
